latitude,longitude,RUC
-2.21,-80.02,"GRAN COLOMBIANA DEL MAR GRANCOMAR SA
Lat: -2.21
Lon: -80.02"
-2.48,-79.94,"PROMARISCO SA
Lat: -2.48
Lon: -79.94"
-2.47,-80.12,"ECUACULTIVOS ECUATORIANA DE CULTIVOS SA
Lat: -2.47
Lon:-80.12"
-2.43,-80.63,"INDUSTRIAL PESQUERA SANTA PRISCILA S.A.
Lat: -2.43
Lon:-80.63"
-2.24,-79.83,"PRODUMAR SA
Lat: -2.24
Lon:-79.83"
-3.29,-80.05,"PESQUERA E INDUSTRIAL BRAVITO S.A
Lat: -3.29
Lon:-80.05"
-2.5,-80.13,"EXPORTADORA LANGOSMAR SA
Lat: -2.5
Lon:-80.13"
-2.41,-79.87,"BIOSUPER S.A.S.
Lat: -2.41
Lon:-79.87"
-2.69,-80.02,"OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS OMARSA SA
Lat: -2.69
Lon:-80.02"
-2.55,-80,"CAMARONERA ESCALANTE SA
Lat: -2.55
Lon:-80"
-2.97,-79.8,"PESQUERA MARYCIELO CIA. LTDA 
Lat: -2.43 
Lon:-80.63"
1.19,-79.07,"AQUACULTURA PUROCONGO S.A
Lat: 1.19
Lon:-79.07"
-2.6,-80.23,"COFIMAR S.A.
Lat: -2.6
Lon:-80.23"
-2.28,-79.82,"LIMBOMAR S.A.
Lat: -2.28
Lon:-79.82"
-2.48,-80.56,"BELLITEC S.A.
Lat: -2.48
Lon:-80.56"
-2.34,-79.73,"LUKMAR S.A.
Lat: -2.34
Lon:-79.73"
-2.29,-79.73,"CAMARONERA SUPRACAMARON ECUADOR ECUASUPRA S.A.
Lat: -2.29
Lon:-79.73"
-2.24,-79.76,"Nombre: GODPROEX PRODUCTORA Y EXPORTADORA S.A.
Lat: -2.24
Lon:-79.76"
-2.29,-79.82,"GREENTRAILCORP CIA.LTDA.
Lat: -2.29
Lon:-79.82"
-2.37,-79.71,"EXPORTADORA Y COMERCIALIZADORA CARECA EXPORCARECA S.A.
Lat: -2.37
Lon:-79.71"
