ingresos_ventas,activos,utilidad_neta,liquidez_corriente,ruc,certificada,nombre
437050.25,377747.45,50.25,1.08,0992653817001,0.0,RADCLIF S.A.
1812205.25,951439.0,44958.66,0.25,0791742293001,0.0,CAMARONERA NELMAR S.A.
51383.9,153789.25,11699.5,1.065,0190150011001,0.0,PRENPIE PREDIAL ENCALADA PIEDRA S.A.
59548.71,3788226.8,11699.5,1.065,0990325561001,0.0,ACUESPECIES SA
5065330.46,7294183.54,260322.73,0.67,0190089037001,0.0,AUSTROMAR SA
18888715.19,10500264.15,1136028.24,2.29,0990171092001,1.0,GRAN COLOMBIANA DEL MAR GRANCOMAR SA
3634630.65,1472883.31,11699.5,1.065,0990002290001,0.0,INDUSTRIA PESQUERA CAPRICORNIO SA IPECASA
3803688.33,3426961.86,177546.53,6.88,0992659351001,0.0,SOCIEDAD DE PRODUCCION CAMARONERA '' EL CONCHERO '' COMPAÑIA LIMITADA
98973138.59,53848447.07,1264816.99,1.12,0990442991001,0.0,CRIMASA CRIADEROS DE MARISCOS SA
18162251.46,22670951.38,-783022.48,0.71,0790048741001,0.0,INDUSTRIAS Y CULTIVOS EL CAMARON SA ICCSA
5921962.74,13072114.74,11699.5,1.065,0990353077001,0.0,GARZAL SA
4923600.38,2418333.57,138971.04,7.99,1790291774001,0.0,AGUAMARINA COMPAÑIA ANONIMA
10389370.79,38894741.18,726663.32,2.44,0990532672001,0.0,DELANAN DESARROLLO LANGOSTINERO SA
13225816.71,20497469.35,-4027.29,0.53,0990534225001,0.0,CALICA CAMARONERA DEL LITORAL CA
20820851.99,22891246.57,4461540.3,1.3,0990549591001,0.0,CAMARONERA AGROMARINA SA
14828121.83,1976852.11,11699.5,1.065,0990552401001,0.0,MARINES CA
237297267.4,156121582.23,1914161.17,0.8,0990553963001,1.0,PROMARISCO SA
8432369.36,17977052.55,215206.64,0.8,0990555907001,0.0,GRANJAS MARINAS DOBLE A (GRAMADA) S.A.
12916866.07,9155118.46,1557797.94,3.29,0990555575001,1.0,ECUACULTIVOS ECUATORIANA DE CULTIVOS SA
