ruc,nombre,provincia
0990325561001,ACUESPECIES SA,GUAYAS                                            
0790048741001,INDUSTRIAS Y CULTIVOS EL CAMARON SA ICCSA,GUAYAS                                            
0990549591001,CAMARONERA AGROMARINA SA,GUAYAS                                            
0990552401001,MARINES CA,GUAYAS                                            
0990555907001,GRANJAS MARINAS DOBLE A (GRAMADA) S.A.,GUAYAS                                            
0790045971001,PRODUCTOS DE EL ORO CA PRODELORO CA,GUAYAS                                            
0790048830001,EXPORTADORA FAFRA S.A.,EL ORO                                            
0990277923001,CAMARONERA GRUPO GRANMAR S.A. GRANMA,GUAYAS                                            
0990071969001,EMPACADORA GRUPO GRANMAR S.A. EMPAGRAN,GUAYAS                                            
0990590117001,CRIADEROS SIG-SIG S.A.,GUAYAS                                            
0790043472001,EXPORTADORA MAREST CA,EL ORO                                            
0990667721001,PESALMAR SA,GUAYAS                                            
0990666415001,BIOREY SA,GUAYAS                                            
0990662665001,CAMARONERA AMELIA AMELIASA SA,EL ORO                                            
0990614393001,PESQUERA DEL CARMEN SA,GUAYAS                                            
0990618305001,ECUALAN ECUATORIANA DE LANGOSTINOS S.A.S.,GUAYAS                                            
0990636877001,INSTITUTO DE INVESTIGACION BIOACUATICA STILYVAN SA,GUAYAS                                            
0791721067001,CARANYUVA CIA. LTDA.,EL ORO                                            
0990585962001,INVERSIONES METABAZ SA,GUAYAS                                            
0990583412001,ISCA ISLA CAMARONERA CA,EL ORO                                            
0791719208001,EMCAMEX S.A.,EL ORO                                            
0791723256001,EXCELLAQUA S.A.,EL ORO                                            
0791724112001,EXPLOMARSA S.A.,EL ORO                                            
0990881847001,ALIMENTSA S.A,GUAYAS                                            
0990886091001,PRODUCTOS FRESCOS DEL MAR PROFREMAR S.A,GUAYAS                                            
0990856125001,CASUR S. A.,EL ORO                                            
0990925682001,MARINA DEL REY (MARDEREY) S.A.,GUAYAS                                            
0990270899001,CORPACU S.A.,GUAYAS                                            
0991213643001,PROFIAGRO S.A.,GUAYAS                                            
0991324267001,MODERCORP S.A.,GUAYAS                                            
0991318585001,TONSNA S.A.,EL ORO                                            
0991301208001,PLUMONT S.A.,GUAYAS                                            
0991266402001,AQUACULTURA TROPICAL S.A. AQUATROPICAL,GUAYAS                                            
0991339124001,MABIMPORT S.A.,GUAYAS                                            
0992702435001,NEXCROME S.A.,GUAYAS                                            
0992746823001,TIBALLOSA S.A.,SANTA ELENA                                       
0992748249001,GIORNALE S.A.,EL ORO                                            
0992728973001,COMERCIALIZADORA GUERRERO S.A. COMGUERSA,GUAYAS                                            
0992859148001,LANGOECUEXPORT S. A.,GUAYAS                                            
0992834692001,FOODMARIN S.A.,GUAYAS                                            
0992832665001,CAROLGASA S.A.,GUAYAS                                            
0992855177001,COMPAÑÍA ESHECLABRI S.A. CLABRISA,GUAYAS                                            
0992850663001,PROCAMAPES PRODUCTORES DE CAMARON PESANTEZ & ASOCIADOS S.A.,GUAYAS                                            
0992845465001,MENIER S.A.,EL ORO                                            
0992838795001,PROCESADORA Y EXPORTADORA DE CAMARON PROCAMARONEX C. LTDA.,GUAYAS                                            
0992865091001,IDEASERVI S. A.,GUAYAS                                            
0993021563001,INDUSTRIA CAMARONERA INCABRERSA S.A.,GUAYAS                                            
0993022810001,CAMARONERA Y EMPACADORA SANFARMAR S.A.,GUAYAS                                            
0993187437001,AQUAMARCHICA S.A.,GUAYAS                                            
0993003506001,LABORATORIO Y CAMARONERA WANBRI S.A.,GUAYAS                                            
0992998490001,CULTIVOS MARINOS CULMARINSA S.A.,SANTA ELENA                                       
0992995505001,CAMARONERA NOVILLOS CAMANOVILLOS S.A.,GUAYAS                                            
0992996455001,ACUACULTURA VALENCIA ACUAVALEN S.A.,SANTA ELENA                                       
0993032247001,GOLDSHRIMP S.A.,GUAYAS                                            
0993035610001,FAISPAA S.A.,EL ORO                                            
0993035564001,FAJARDOSLAB S.A.,EL ORO                                            
0993035572001,IPFACA S.A.,EL ORO                                            
0993017787001,CAMAPEX S.A.,GUAYAS                                            
0993019526001,AQUADEX CIA.LTDA.,MANABI                                            
0993188816001,I&V BIO S.A.,GUAYAS                                            
0993192155001,SKRETTING ARC ECUADOR S.A.,GUAYAS                                            
0993183857001,ENGUNGAMAR S.A.,GUAYAS                                            
