cia_imvalores,ingresos_ventas,activos,patrimonio,utilidad_an_imp,impuesto_renta,n_empleados,ingresos_totales,utilidad_ejercicio,total_gastos,ruc,certificada
0.0,437050.25,377747.45,348847.81,50.25,0.0,5.0,437050.25,50.25,437000.0,0992653817001,0.0
0.0,18888715.19,10500264.15,8238260.46,1540893.69,404865.45,99.0,18889511.91,1812816.11,478220.48,0990171092001,1.0
0.0,3803688.33,3426961.86,2957665.18,0.0,65948.54,23.0,3803775.92,0.0,564151.46,0992659351001,0.0
0.0,98973138.59,53848447.07,9721729.0,1862914.34,598097.35,702.0,99430785.32,2191663.93,9680453.75,0990442991001,0.0
0.0,4923600.38,2418333.57,1640884.02,0.0,63737.99,59.0,5056825.64,0.0,813683.62,1790291774001,0.0
0.0,10389370.79,38894741.18,18312189.09,955103.96,238775.99,29.0,10496431.99,1135810.96,1179619.0,0990532672001,0.0
0.0,20820851.99,22891246.57,11704499.19,5449111.86,993220.52,194.0,20925924.23,6410719.84,1022687.76,0990549591001,0.0
0.0,12916866.07,9155118.46,7038263.85,0.0,537728.49,45.0,12919241.03,2461775.52,428852.53,0990555575001,1.0
0.0,8814969.15,5624950.74,4783044.17,217434.58,58212.55,50.0,8814969.15,187320.04,8627649.11,0990475962001,0.0
0.0,1412874281.27,1274284556.4,754977678.96,130119433.18,7555992.54,15598.0,1422903654.91,146557355.39,345155583.22,0991257721001,1.0
0.0,193476721.82,161269711.5,103315544.96,0.0,7649597.29,1010.0,193513428.18,0.0,11922567.17,0990576459001,1.0
1.0,162573631.32,484261462.81,117439944.63,2844882.66,947801.86,1031.0,163383822.27,2043306.96,22809304.62,0990071969001,0.0
0.0,7266003.54,4479612.48,3458511.03,0.0,167622.05,42.0,7266614.2,773243.84,192302.78,0990529140001,0.0
0.0,18698151.9,7029943.98,3336811.89,1443356.63,424998.23,83.0,18698151.9,1698066.6,543342.59,0990486859001,0.0
0.0,27681757.32,22595345.05,17198122.23,7889505.23,1490364.24,247.0,28251649.73,9281770.86,1279355.89,0990497214001,0.0
0.0,12718234.53,10921039.97,7696616.81,-142150.8,0.0,97.0,12737064.33,-142150.8,530367.66,0790050487001,1.0
0.0,3520705.54,9820091.14,6248744.04,92919.21,0.0,2.0,4667998.34,109316.72,189250.57,0991005420001,0.0
0.0,5760109.95,3222862.73,717509.32,-166938.86,0.0,80.0,5760109.95,-166938.86,375632.03,1391702108001,0.0
0.0,3945580.71,3466978.45,1927759.17,-2559.75,8184.0,33.0,3965693.32,-2559.75,378268.17,0790092597001,0.0
0.0,14761401.58,68105545.2,36187517.1,1316504.76,411656.93,104.0,16980766.3,1362598.7,64783.94,0992672595001,0.0
0.0,956326.69,486564.83,61813.15,53386.76,0.0,3.0,956326.69,53386.76,33481.34,0992669195001,0.0
0.0,0.0,1352059.17,1079920.69,-26211.03,0.0,6.0,4.59,-26211.03,24210.97,0791742935001,0.0
0.0,24396927.78,21787126.33,17287094.33,6066567.0,1134279.17,186.0,24775858.66,7137137.65,908726.65,0990667721001,0.0
0.0,22384340.39,31179115.22,23618152.81,2153434.45,476130.06,117.0,22683567.72,2533452.3,1035218.67,0990666407001,1.0
0.0,22904174.15,18209646.99,11722096.47,3314848.9,919433.34,175.0,22956385.75,3899822.24,541678.52,0990760810001,0.0
0.0,881440090.71,489276768.51,230300396.22,76121283.78,7047425.16,7347.0,882112639.57,89554451.51,63194196.75,0990608504001,1.0
0.0,37855279.51,50842200.83,18838369.77,4245731.22,1326276.56,119.0,37855279.51,5052222.11,2261592.39,0990621705001,1.0
0.0,15203347.43,5652481.83,2756524.19,784552.01,201493.5,99.0,15203347.43,923002.37,757314.21,0990585962001,0.0
0.0,46354051.54,65742359.13,17478361.28,4245284.85,1449234.36,349.0,46437360.53,5040683.17,5384253.35,0990583412001,0.0
0.0,4206520.93,3552002.39,2022972.9,256398.38,90780.68,45.0,4224322.2,307622.22,281263.73,0790095391001,0.0
0.0,10193451.54,3345897.91,1725672.89,4203.94,49371.83,44.0,10200822.32,4945.81,718943.6,0790096258001,0.0
0.0,31932549.6,44795601.23,20841613.78,9677.47,2419.37,206.0,31964941.29,4788426.65,1888939.56,0791719208001,0.0
0.0,4388691.35,6265331.47,3966414.47,0.0,20814.26,3.0,4388691.35,0.0,849665.07,0791723256001,0.0
0.0,160587182.61,110270260.57,80471723.12,20113186.21,3440362.94,215.0,161194304.1,23662572.01,14217411.51,0990881847001,0.0
0.0,5038372.92,3052007.84,2147974.0,755950347500001.0,196249.52,10.0,5040221.7,889353350000001.0,134704.29,0990842949001,0.0
0.0,209026825.05,210291195.74,92611211.52,33493455.73,2920642.04,1439.0,211021930.45,36544280.25,64084131.59,0990844208001,0.0
0.0,4556498.37,7713825.94,6660210.66,0.0,231106.87,68.0,4566498.37,0.0,0.0,0990754519001,0.0
0.0,1594470.92,1016160.86,901436.07,0.0,0.0,11.0,1594490.85,64597.68,0.0,0791745985001,0.0
0.0,5776728.64,8823630.86,3925933.57,690034.15,192591.96,33.0,5791574.84,821558.65,1249303.81,0990948038001,0.0
0.0,1755806.0,1646698.0,1369479.0,0.0,80471.0,57.0,1765090.0,372366.0,208556.0,0990925682001,0.0
0.0,50758.35,4100010.2,4069112.33,-122267.61,60.0,5.0,51259.98,-122267.61,173527.59,0992671548001,0.0
0.0,120.0,856.95,852.95,16.0,4.0,4.0,120.0,16.0,104.0,0992669306001,0.0
0.0,1760676.9,6656060.48,5414228.74,130.14,32.53,23.0,1760676.9,133.59,97970.47,0990968349001,0.0
0.0,1432305.87,719545.26,233866.85,55424.5,38925.13,12.0,1432305.87,65205.3,116564.46,0791745446001,0.0
0.0,0.0,1844241.32,1843979.86,-12208.7,0.0,4.0,0.0,-12208.7,12208.7,0992683732001,0.0
0.0,136198.66,286599.43,93395.0,3548.76,3139.47,8.0,217097.5,3582.07,5489.97,0791747430001,0.0
0.0,530497.22,473508.31,438728.31,20832.31,0.0,3.0,530497.22,20832.31,201800.0,0992669527001,0.0
0.0,1870678.71,1306115.87,453333.35,0.0,0.0,6.0,1870678.71,0.0,45793.31,2490003285001,0.0
0.0,450369.87,252106.38,77776.27,-59391.59,0.0,8.0,450369.87,-59391.59,15099.02,0992673672001,0.0
0.0,4616749.62,7022914.46,5370237.84,-172762.55,0.0,76.0,4616749.62,-172762.55,370666.93,0991318585001,0.0
0.0,6283241.14,4264170.26,3228727.14,0.0,0.0,34.0,6283241.14,0.0,234919.58,0991301208001,0.0
0.0,3125962.75,5529295.97,1107580.51,-261789.21,0.0,26.0,3135503.82,-261789.21,652634.98,0991266402001,0.0
0.0,2507564.21,4510961.75,4429338.43,57403.83,15710.39,4.0,2627424.34,67533.92,265478.74,0991401164001,0.0
0.0,5217074.97,3427993.28,2667967.19,0.0,89993.98,29.0,5217415.33,407323.15,106485.81,0991367152001,0.0
0.0,391907.96,38683094.87,33439157.05,0.0,60.0,4.0,406981.59,2649148.08,1394776.59,0991359354001,0.0
0.0,154560518.42,86022569.12,18610910.22,0.0,849183.82,2173.0,155244582.9,3415214.05,16267716.98,0991329331001,1.0
0.0,10592362.39,16673180.75,8578417.93,474.27,118.57,77.0,10592362.39,472.51,741419.32,0791730015001,0.0
0.0,4971352.78,9016735.93,7068764.28,204498.82,51124.7,46.0,4980647.66,219200.96,221620.33,0791730007001,0.0
0.0,1512479.59,1027222.49,402723.33,29571.99,12546.49,30.0,1545260.98,34790.58,142687.74,0791730651001,0.0
0.0,512635.65,314825.01,2604.75,11180.93,9050.23,10.0,512635.65,12923.95,15318.37,0791731461001,0.0
0.0,499890.01,1557104.67,106466.79,12920.21,2842.45,4.0,499890.01,-4855.75,77716.25,0791731054001,0.0
0.0,2148814.94,1093485.51,197403.53,0.0,35574.95,13.0,2148814.94,163146.11,138343.74,0791731879001,0.0
0.0,1359598.86,2380454.13,2005173.35,65567.97,50480.36,4.0,1359598.86,77138.79,26993.69,0791732506001,0.0
0.0,3674792.21,3205882.55,2942252.53,0.0,55443.09,28.0,3675160.72,0.0,1436873.51,0791732441001,0.0
0.0,1393506.85,936005.18,478459.48,52109.05,14377.14,17.0,1393506.85,61304.76,113628.98,0791737559001,0.0
0.0,1618710.95,827824.44,83057.21,0.0,2231.64,39.0,1618712.15,0.0,116336.72,0791741920001,0.0
0.0,562253.5,941912.3,673517.24,1844.17,6793.9,9.0,562253.5,2169.61,202071.04,0791734282001,0.0
0.0,1161315.58,701078.33,387369.79,70751.59,21706.29,14.0,1161315.58,83237.16,143135.03,0791734800001,0.0
0.0,1515797.4,560873.8,390167.65,105929.39,26077.76,12.0,1515797.4,124622.81,167494.31,0791734797001,0.0
0.0,2561357.04,1051231.06,319600.2,0.0,34535.29,10.0,2561357.04,0.0,510507.39,0791736196001,0.0
0.0,739212.96,556439.09,465066.81,25263.12,5572.76,10.0,739212.96,29721.32,162943.37,0791738601001,0.0
0.0,150.0,32488.48,32428.48,65.84,0.0,4.0,150.0,65.84,84.16,0791738857001,0.0
0.0,1029924.37,482191.28,27222.46,17032.38,4769.07,8.0,1033219.5,20038.09,171915.91,0791739551001,0.0
0.0,316379.45,315294.85,213021.69,8686.18,1910.96,4.0,316379.45,10219.03,134710.95,0791739810001,0.0
0.0,1405109.05,1187463.87,434804.9,0.0,11598.57,17.0,1405109.05,0.0,64553.3,0992638907001,0.0
0.0,280789.85,174528.79,107067.92,0.0,3509.79,7.0,280789.85,18448.09,0.0,0791740320001,0.0
0.0,785807.02,672558.86,74162.38,11014.25,2423.14,23.0,785807.02,11014.25,50793.28,1191734358001,0.0
0.0,1010651.1,298641.27,85561.02,9362.11,2340.53,26.0,1010754.09,11014.25,78411.02,1191734382001,0.0
0.0,2058825.56,9713069.83,3049232.53,-213694.38,0.0,24.0,2064348.15,-213694.38,354859.51,1391751737001,0.0
0.0,233774.09,1557549.31,74521.08,-53922.49,0.0,2.0,233774.09,-53922.49,94176.85,0992702435001,0.0
0.0,182160.0,503322.08,364393.29,2200.44,5476.34,3.0,182567.93,2588.75,154179.26,0992139501001,0.0
0.0,4258892.0,5775514.49,813762.25,0.0,59083.65,6.0,4262486.18,0.0,1241990.33,0992128526001,0.0
