ruc,nombre,provincia
0990442991001,CRIMASA CRIADEROS DE MARISCOS SA,GUAYAS                                            
0990532672001,DELANAN DESARROLLO LANGOSTINERO SA,EL ORO                                            
0990549591001,CAMARONERA AGROMARINA SA,GUAYAS                                            
0990475962001,MARAGRO SA,GUAYAS                                            
0990071969001,EMPACADORA GRUPO GRANMAR S.A. EMPAGRAN,GUAYAS                                            
0990529140001,CONSAVE C.A,GUAYAS                                            
0990486859001,CAMARONERA DELI S A,GUAYAS                                            
0790092597001,CAMARONERA BRAVOGRANDE S.A.,EL ORO                                            
0990667721001,PESALMAR SA,GUAYAS                                            
0990585962001,INVERSIONES METABAZ SA,GUAYAS                                            
0990583412001,ISCA ISLA CAMARONERA CA,EL ORO                                            
0790095391001,LANGOSTINOS CAROLFA C. LTDA.,EL ORO                                            
0790096258001,ESCAVI CIA. LTDA.,EL ORO                                            
0791719208001,EMCAMEX S.A.,EL ORO                                            
0991318585001,TONSNA S.A.,EL ORO                                            
0991301208001,PLUMONT S.A.,GUAYAS                                            
0991266402001,AQUACULTURA TROPICAL S.A. AQUATROPICAL,GUAYAS                                            
0991367152001,NAVARONE S.A.,GUAYAS                                            
0991359354001,GRUBER S.A.,GUAYAS                                            
0992702435001,NEXCROME S.A.,GUAYAS                                            
0992721278001,MIS.JAMS S.A.,GUAYAS                                            
0992708581001,TROPICAL PACKING ECUADOR S.A. TROPACK,GUAYAS                                            
0992703563001,LEDCOSTA S.A.,GUAYAS                                            
0992834692001,FOODMARIN S.A.,GUAYAS                                            
0992845465001,MENIER S.A.,EL ORO                                            
0992838795001,PROCESADORA Y EXPORTADORA DE CAMARON PROCAMARONEX C. LTDA.,GUAYAS                                            
0992835591001,PRODUFIRST S.A.,GUAYAS                                            
0993021563001,INDUSTRIA CAMARONERA INCABRERSA S.A.,GUAYAS                                            
0993022810001,CAMARONERA Y EMPACADORA SANFARMAR S.A.,GUAYAS                                            
0993039640001,AQUAGRANJAS S.A.,GUAYAS                                            
0993026956001,VALDILARVA S.A.,SANTA ELENA                                       
0993025941001,SUPPLY-FISHING S.A.,GUAYAS                                            
0993025968001,VILVAOCORP S.A.,GUAYAS                                            
0993019186001,CAMARONMAR S.A.,GUAYAS                                            
0993019208001,CULTISHRIMP S.A.,GUAYAS                                            
